id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
97903,boardgame,Terror in Meeple City,2013,2,4,45,45,45,8,4156,7.07371,6.83405,6910,159,421,1494,1057,268,1.4701
104710,boardgame,Wiz-War (eighth edition),2012,2,4,60,30,60,14,2993,7.18643,6.83292,4559,171,255,1094,709,203,2.2759
30645,boardgame,Tammany Hall,2007,3,5,90,90,90,12,1929,7.33077,6.83188,2822,94,288,852,626,178,2.8034
122522,boardgame,Smash Up,2012,2,4,45,45,45,12,10075,6.9807,6.83012,16178,472,250,1581,1830,636,2.033
163166,boardgame,One Night Ultimate Werewolf Daybreak,2015,3,7,10,10,10,8,933,7.8573,6.82975,2588,14,110,388,204,41,1.439
65244,boardgame,Forbidden Island,2010,2,4,30,30,30,10,19033,6.91015,6.82616,29370,929,212,2024,4349,1474,1.7388
173,boardgame,Formula D,1991,2,10,120,120,120,10,6685,7.00212,6.82386,6665,236,133,453,2030,747,1.9705
123540,boardgame,Tokaido,2012,2,5,45,45,45,8,5049,7.04782,6.82341,7340,96,491,2060,1016,357,1.7507
23094,boardgame,Planet Steam,2008,2,5,120,120,120,14,1769,7.35736,6.82267,2791,119,238,826,534,199,3.7487
18100,boardgame,China,2005,3,5,45,45,45,12,3746,7.06232,6.82017,3677,193,154,519,1425,468,2.2906
119788,boardgame,Hyperborea,2014,2,6,90,90,90,12,1530,7.46013,6.81955,1938,37,291,1222,352,142,3.1549
156776,boardgame,"Warhammer 40,000: Conquest",2014,2,2,45,45,45,14,1145,7.76444,6.81945,2463,78,101,486,251,100,3.04
148319,boardgame,Tragedy Looper,2011,2,4,120,120,120,13,1278,7.58007,6.81894,3001,52,343,1297,365,101,3.3861
104020,boardgame,Vanuatu,2011,3,5,90,90,90,12,1790,7.32648,6.81787,1802,47,193,631,445,179,3.3743
143884,boardgame,Machi Koro,2012,2,4,30,30,30,7,7956,6.95327,6.81407,13077,245,430,1861,1665,599,1.5559
45,boardgame,Liar's Dice,1987,2,6,15,15,15,8,7962,6.94344,6.81308,9202,333,105,566,2686,816,1.2721
122298,boardgame,Morels,2012,2,2,30,30,30,10,2742,7.16573,6.81301,4795,133,327,1017,743,199,1.7186
139976,boardgame,Cthulhu Wars,2015,2,4,90,90,90,12,814,8.21312,6.81263,1421,11,180,746,255,106,3.0566
71721,boardgame,Space Hulk: Death Angel  The Card Game,2010,1,6,30,30,30,13,7708,6.97438,6.81148,13218,571,170,984,1995,621,2.3929
26990,boardgame,Container,2007,3,5,90,90,90,0,3286,7.09296,6.80786,2558,53,532,1274,1179,351,3.2393
72287,boardgame,Mr. Jack Pocket,2010,2,2,15,15,15,14,3582,7.0803,6.80728,5937,139,138,632,835,234,1.7863
17396,boardgame,Manoeuvre,2008,2,2,60,60,60,10,1844,7.31322,6.80567,2402,112,179,605,741,277,2.1047
147151,boardgame,Concept,2013,4,12,40,40,40,10,3469,7.09019,6.80528,5412,68,242,1052,659,190,1.4947
94246,boardgame,1812: The Invasion of Canada,2012,2,5,90,90,90,10,1461,7.42684,6.80334,1897,71,300,709,510,162,2.1852
137649,boardgame,Level 7 [Omega Protocol],2013,2,6,90,60,90,14,984,7.74755,6.79961,2050,45,426,1657,258,66,3.0758
327,boardgame,Loopin' Louie,1992,2,4,10,10,10,4,5547,6.97508,6.79942,6584,112,239,701,1792,554,1.0487
43022,boardgame,Yomi,2011,2,2,30,30,30,10,2324,7.2479,6.79865,2537,137,244,973,734,183,2.3552
96007,boardgame,The New Era,2011,2,5,60,60,60,10,1005,7.74259,6.7979,1559,41,164,558,233,101,3.4356
59946,boardgame,Dungeons & Dragons: Castle Ravenloft Board Game,2010,1,5,60,60,60,12,5888,7.01203,6.79695,9428,401,290,1506,1573,533,2.5216
121410,boardgame,Steam Park,2013,2,4,90,90,90,8,2702,7.13725,6.79656,4380,167,339,1156,592,158,2.0886
51,boardgame,Ricochet Robots,1999,1,15,30,30,30,10,5300,6.9988,6.79394,5259,109,190,775,1488,443,2.4831
68264,boardgame,No Retreat! The Russian Front,2011,1,2,360,360,360,12,889,7.84746,6.79217,1883,44,170,595,369,130,3.0538
5737,boardgame,Domaine,2003,2,4,60,60,60,12,3631,7.05812,6.79109,4101,188,237,762,1179,437,2.7208
27588,boardgame,Zooloretto,2007,2,5,45,45,45,8,10315,6.90173,6.7905,12284,425,355,1401,2768,1036,1.8678
2398,boardgame,Cribbage,1630,2,4,30,30,30,10,5169,6.99586,6.78987,6779,58,8,117,1578,457,1.9147
71671,boardgame,Yggdrasil,2011,1,6,75,75,75,13,2667,7.15137,6.78898,3023,76,360,1380,701,192,2.5833
4099,boardgame,Keythedral,2002,2,5,90,60,90,8,2674,7.11389,6.7887,3008,107,307,701,1008,379,2.8522
2093,boardgame,Mahjong,1850,3,4,120,120,120,8,4328,7.04699,6.78856,5820,93,55,320,1128,415,2.5614
156566,boardgame,Lords of Xidit,2014,3,5,90,90,90,14,1461,7.40207,6.78697,2295,44,295,1000,301,100,2.65
15817,boardgame,Manila,2005,3,5,60,60,60,10,3899,7.02448,6.78402,3808,62,381,881,1155,508,2.0354
124,boardgame,Primordial Soup,1997,3,4,90,90,90,12,3973,7.01931,6.78373,4525,199,270,930,1325,453,2.7241
91080,boardgame,Andean Abyss,2012,1,4,360,360,360,12,1096,7.62306,6.78358,1897,47,229,649,409,156,3.6474
57390,boardgame,Catacombs,2010,2,5,90,30,90,12,2192,7.20782,6.78352,2892,130,536,1852,838,163,1.8896
37836,boardgame,Julius Caesar,2010,2,2,120,120,120,12,868,7.86497,6.78351,1311,19,297,688,351,128,2.4375
15126,boardgame,Advanced Squad Leader: Starter Kit #2,2005,2,2,180,180,180,12,847,7.88902,6.78349,1979,31,101,262,288,164,3.7805
27364,boardgame,Caylus Magna Carta,2007,2,4,75,45,75,10,4035,7.01143,6.78275,5409,324,133,545,1385,463,2.8812
230,boardgame,Merchant of Venus,1988,1,6,180,180,180,12,2265,7.20438,6.78261,2658,75,305,870,844,278,2.8381
42910,boardgame,Peloponnes,2009,1,5,45,45,45,10,1909,7.23117,6.78042,1857,33,277,844,622,195,2.3897
30618,boardgame,Eat Poop You Cat,1984,3,99,20,20,20,0,1227,7.48899,6.77961,637,2,13,107,409,99,1.1313
25821,boardgame,The Werewolves of Miller's Hollow,2001,8,18,30,30,30,10,5822,6.97283,6.77857,8598,190,44,415,1270,538,1.3197
37628,boardgame,Haggis,2010,2,3,45,45,45,13,2778,7.0972,6.77783,4288,178,147,562,917,185,2.1405
129948,boardgame,The Palaces of Carrara,2012,2,4,60,60,60,10,1822,7.25638,6.77613,2032,36,386,937,486,150,2.5867
25568,boardgame,Metropolys,2008,2,4,45,45,45,8,3245,7.04161,6.77566,3027,80,283,791,995,363,2.2204
132028,boardgame,Conflict of Heroes: Awakening the Bear! (second edition),2012,1,4,120,120,120,13,659,8.21961,6.77379,1553,29,136,466,170,73,3.2877
91536,boardgame,Quarriors!,2011,2,4,30,30,30,14,9830,6.89646,6.76849,12868,562,317,1743,2283,686,1.9563
34084,boardgame,Witch's Brew,2008,3,5,45,45,45,9,3055,7.06125,6.76522,3064,56,390,896,866,307,1.8664
38054,boardgame,Snow Tails,2008,2,5,60,45,60,10,3990,6.97546,6.76282,3760,141,349,1207,1155,343,2.0729
432,boardgame,6 nimmt!,1994,2,10,45,45,45,8,8315,6.88642,6.76261,10338,137,174,532,2767,1118,1.2361
30381,boardgame,Hamburgum,2007,2,5,75,75,75,12,2604,7.0901,6.76204,2734,102,187,542,823,349,3.0802
35497,boardgame,Fauna,2008,2,6,60,45,60,8,2521,7.11227,6.76149,2699,53,156,591,534,179,1.5251
2507,boardgame,Libert,2001,3,6,120,120,120,12,2058,7.18579,6.76102,2551,153,207,606,864,281,3.3238
132372,boardgame,Guildhall,2012,2,4,45,30,45,10,2548,7.11057,6.75847,3355,101,233,732,635,184,2.0543
66056,boardgame,The Rivals for Catan,2010,2,2,45,45,45,10,2514,7.13648,6.75823,5205,188,120,493,603,197,2.3096
156714,boardgame,Doomtown: Reloaded,2014,2,4,30,30,30,12,970,7.83519,6.75625,2733,181,111,547,316,93,3.3978
117959,boardgame,Las Vegas,2012,2,5,30,30,30,8,3229,7.03279,6.75434,3761,34,256,630,732,246,1.2195
1634,boardgame,Warhammer Quest,1995,1,4,120,120,120,12,1719,7.39981,6.75424,2180,43,332,709,540,159,2.6981
44163,boardgame,Power Grid: Factory Manager,2009,2,5,60,60,60,12,4823,6.93915,6.75019,5220,232,206,928,1138,442,3.0068
151007,boardgame,Pathfinder Adventure Card Game: Skull & Shackles  Base Set,2014,1,4,120,120,120,13,813,7.91923,6.74971,2494,67,114,400,188,53,2.8868
121297,boardgame,Fleet,2012,2,4,45,30,45,10,2633,7.08719,6.74964,3840,123,311,877,814,184,2.2554
16747,boardgame,Tumblin-Dice,2004,1,4,30,30,30,13,2323,7.13308,6.74877,2031,16,445,1046,748,182,1.044
19100,boardgame,Hacienda,2005,2,5,90,60,90,10,3522,6.99839,6.74755,3402,152,171,509,1106,463,2.6307
8203,boardgame,"Hey, That's My Fish!",2003,2,4,20,20,20,8,12807,6.82349,6.74588,14836,355,308,1293,3761,1356,1.4698
221,boardgame,Ikusa,1986,2,5,360,240,360,12,3952,7.03034,6.74412,6153,335,199,700,1471,485,2.9402
37919,boardgame,Ascending Empires,2011,2,4,75,75,75,10,1753,7.23808,6.74273,1726,71,342,953,643,146,2.3288
47055,boardgame,High Frontier,2010,2,5,180,180,180,12,1234,7.48184,6.74016,2275,78,251,996,551,195,4.2
25643,boardgame,Arkadia,2006,2,4,60,60,60,10,3546,6.98329,6.73862,3704,228,170,647,1254,487,2.5811
855,boardgame,Java,2000,2,4,120,120,120,12,2756,7.04754,6.73532,3856,113,380,768,1007,352,3.4034
91873,boardgame,Strasbourg,2011,3,5,60,60,60,12,1768,7.2064,6.73307,2007,36,222,499,419,161,2.7329
160495,boardgame,ZhanGuo,2014,2,4,120,60,120,12,876,7.72864,6.73306,1218,13,209,664,240,103,3.6893
161417,boardgame,Red7,2014,2,4,10,5,10,9,2539,7.07246,6.73082,4196,55,205,764,602,167,1.6108
1608,boardgame,Ambush!,1983,1,1,240,240,240,12,1646,7.31705,6.73079,3372,173,204,589,785,244,3.2254
8989,boardgame,Hansa,2004,2,4,60,60,60,10,4294,6.92939,6.73002,4834,242,147,594,1565,586,2.3532
111341,boardgame,The Great Zimbabwe,2012,2,5,150,90,150,14,949,7.60238,6.72957,988,10,273,662,302,113,3.7257
20542,boardgame,Advanced Squad Leader: Starter Kit #3,2007,2,2,180,180,180,12,711,8.00851,6.72941,1970,31,85,245,251,117,3.8718
21523,boardgame,Runebound (Second Edition),2005,1,6,240,120,240,12,6604,6.93467,6.72911,8532,392,233,1154,1905,789,2.6768
41,boardgame,Can't Stop,1980,2,4,30,30,30,9,7579,6.85113,6.7291,6945,205,265,895,2563,768,1.1693
1261,boardgame,Medina,2001,3,4,60,60,60,10,2325,7.09327,6.72737,2959,85,214,631,733,253,2.8182
123955,boardgame,Thunderbolt Apache Leader,2012,1,1,90,90,90,12,586,8.32657,6.72652,1455,38,205,623,240,88,3.1023
833,boardgame,For the People,1998,2,2,360,360,360,12,989,7.62344,6.72463,2579,94,123,418,524,189,3.6085
6205,boardgame,Europe Engulfed,2003,2,3,720,720,720,14,1172,7.57171,6.72442,2159,87,159,534,640,239,3.7699
160018,boardgame,Smash Up: Monster Smash,2014,2,4,45,30,45,12,909,7.71605,6.72355,3359,31,140,465,135,27,2.2593
144041,boardgame,Patchistory,2013,2,4,120,60,120,12,1055,7.56499,6.72331,1708,50,222,758,292,121,3.7107
699,boardgame,HeroQuest,1989,2,5,90,90,90,10,6895,6.96607,6.72302,9964,469,234,692,2124,671,2.1788
111799,boardgame,Cuba Libre,2013,1,4,180,180,180,0,795,7.78509,6.71966,1515,20,297,731,286,106,3.4528
25669,boardgame,Qwirkle,2006,2,4,45,45,45,6,7425,6.84868,6.71652,11452,320,142,927,1849,567,1.6843
6830,boardgame,Zendo,2001,3,5,60,60,60,8,1574,7.26523,6.71557,1206,16,272,702,639,176,2.5795
142326,boardgame,Eight-Minute Empire: Legends,2013,2,4,32,16,32,13,1604,7.24897,6.71478,3088,60,228,670,415,104,2
139771,boardgame,Star Trek: Attack Wing,2013,2,99,60,60,60,14,1240,7.83154,6.71391,2351,65,80,324,296,118,2.6356
823,boardgame,Lord of the Rings,2000,2,5,60,60,60,12,10583,6.81929,6.71274,15533,942,179,874,3556,1185,2.5781
67254,boardgame,Warmachine Prime Mk II,2010,2,4,60,60,60,12,692,8.0345,6.71142,1227,23,28,73,160,58,3.6897
75165,boardgame,De Vulgari Eloquentia,2010,2,5,120,120,120,14,1304,7.35892,6.71,2266,141,86,349,400,166,3.6024
60435,boardgame,Rallyman,2009,1,4,45,45,45,9,1635,7.26722,6.70978,2145,62,244,603,472,182,2.1813
2955,boardgame,Mexica,2002,2,4,90,90,90,10,2471,7.06362,6.70657,3387,113,266,720,901,292,2.7432
35815,boardgame,A Touch of Evil: The Supernatural Game,2008,2,8,90,90,90,12,3372,7.02394,6.70542,4828,197,176,943,975,323,2.5604
66,boardgame,Lwenherz,1997,2,4,90,90,90,12,2078,7.10842,6.70391,2769,173,78,223,705,251,2.9283
95103,boardgame,Fortune and Glory: The Cliffhanger Game,2011,1,8,90,90,90,12,2071,7.15858,6.70362,3560,78,378,1324,595,214,2.8364
24068,boardgame,Shadow Hunters,2005,4,8,45,45,45,13,5074,6.8938,6.70279,5268,138,324,1239,1313,416,1.8293
1382,boardgame,Winner's Circle,2001,2,6,60,45,60,10,3822,6.9372,6.7024,3430,97,335,706,1491,486,1.607
92415,boardgame,Skull,2011,3,6,45,45,45,10,3117,6.97288,6.69877,4083,45,217,818,704,213,1.1831
18258,boardgame,Mission: Red Planet,2005,3,5,60,60,60,10,3255,6.94962,6.69732,3090,163,475,1637,1171,354,2.3136
1159,boardgame,Evo,2001,3,5,60,60,60,14,3941,6.91896,6.69628,3471,104,243,713,1198,437,2.3364
166669,boardgame,San Juan (second edition),2014,2,4,60,45,60,10,694,7.9005,6.69566,1507,26,164,461,170,45,2.1556
37759,boardgame,Incan Gold,2006,3,8,20,20,20,8,6006,6.84115,6.69338,7536,146,365,1276,1831,473,1.1543
145659,boardgame,Scoville,2014,2,6,90,60,90,13,1315,7.32846,6.69338,2347,41,314,831,337,97,2.7938
35052,boardgame,Axis & Allies Anniversary Edition,2008,2,6,360,360,360,12,1491,7.40009,6.69292,1687,44,160,548,365,169,3.142
75449,boardgame,Firenze,2010,2,4,60,60,60,12,1347,7.29797,6.69143,1561,19,304,673,326,124,2.5565
423,boardgame,1856,1995,3,6,300,300,300,14,995,7.52018,6.69134,1414,49,88,210,417,158,4.2532
527,boardgame,GIPF,1997,2,2,30,30,30,9,2008,7.11305,6.68993,2996,98,164,441,690,194,2.7784
112138,boardgame,Krosmaster: Arena,2012,2,4,60,60,60,14,1809,7.2189,6.68875,3955,160,153,722,418,142,2.6338
119591,boardgame,Rialto,2013,2,5,45,45,45,10,2293,7.03913,6.68708,3021,117,187,642,548,206,2.5631
137297,boardgame,Augustus,2013,2,6,30,30,30,8,4163,6.89169,6.68663,5251,168,197,745,1026,313,1.6262
58936,boardgame,Wars of the Roses: Lancaster vs. York,2010,2,4,180,180,180,13,1202,7.37633,6.68623,1450,57,165,494,398,160,3.1875
152,boardgame,M & More,1995,2,8,60,60,60,11,1631,7.18358,6.68418,2612,106,89,239,690,172,2.4826
902,boardgame,Meuterer,2000,3,4,60,60,60,12,2768,6.98864,6.68379,4681,142,160,500,939,338,2.3254
278,boardgame,Catan Card Game,1996,2,2,90,90,90,10,10131,6.80506,6.6815,15134,748,79,364,2760,1036,2.4517
13823,boardgame,Fairy Tale,2004,2,5,20,20,20,10,5903,6.82278,6.68142,8134,323,264,1229,2080,590,1.7441
89409,boardgame,BattleCON: War of Indines,2010,2,4,15,15,15,9,783,7.81723,6.6811,1425,52,155,457,260,66,2.6515
16395,boardgame,Blokus Duo,2005,2,2,15,15,15,5,3758,6.91936,6.6805,5171,240,41,167,1208,416,1.7163
29934,boardgame,Amyitis,2007,2,4,120,60,120,12,2417,7.01519,6.68,3022,154,81,403,876,336,3.2321
13884,boardgame,The Scepter of Zavandor,2004,2,6,90,90,90,10,2185,7.0673,6.67972,2370,130,121,423,867,343,3.5102
40793,boardgame,Dice Town,2009,2,5,60,60,60,8,4290,6.87563,6.67854,4601,78,408,1186,1085,307,1.671
109125,boardgame,Wallenstein (second edition),2012,2,5,120,90,120,12,761,7.76045,6.67672,1347,35,222,659,211,74,3.2432
22484,boardgame,Ingenious: Travel Edition,2006,2,2,30,30,30,10,1600,7.19521,6.67607,2203,66,61,205,537,155,1.8581
12495,boardgame,Fire & Axe: A Viking Saga,2004,3,5,90,90,90,12,2274,7.03249,6.67598,2294,74,347,1030,899,294,2.6837
103,boardgame,Titan,1980,2,6,240,30,240,12,3349,6.99197,6.67553,4681,234,215,676,1372,418,3.4785
13780,boardgame,In the Shadow of the Emperor,2004,2,4,90,90,90,12,2597,6.97974,6.67533,3504,320,85,340,1135,377,3.4324
30658,boardgame,Rise of Empires,2009,2,5,180,180,180,12,1675,7.16784,6.67341,2445,125,132,556,494,207,3.5459
12995,boardgame,Dungeon Twister,2004,2,2,60,60,60,11,4905,6.88119,6.67297,6459,427,150,889,1724,655,2.8748
129459,boardgame,Duel of Ages II,2013,2,8,150,150,150,12,769,7.80482,6.67256,1666,50,256,847,268,75,3.3333
21441,boardgame,Mykerinos,2006,2,4,45,45,45,10,3381,6.90787,6.67247,3444,178,150,548,1175,501,2.5569
105,boardgame,Colossal Arena,1997,2,5,60,60,60,8,5908,6.82462,6.67214,7042,360,155,578,2102,694,2.0216
1465,boardgame,Wizard,1984,3,6,45,45,45,10,4304,6.89287,6.6717,6344,205,31,200,1257,422,1.7441
42452,boardgame,Rattus,2010,2,4,45,45,45,10,4201,6.86899,6.66962,4347,123,303,967,995,290,2.0655
122294,boardgame,Ascension: Immortal Heroes,2012,1,2,30,30,30,13,920,7.56132,6.6687,1892,52,53,214,181,45,2.1333
123607,boardgame,Puzzle Strike (Third Edition),2012,2,4,20,20,20,10,998,7.5597,6.66785,1301,42,199,501,278,71,2.7324
33604,boardgame,Say Anything,2008,3,8,30,30,30,13,3434,6.92462,6.66701,5270,151,119,705,977,231,1.1039
123499,boardgame,City of Iron,2013,2,4,120,120,120,13,1016,7.48419,6.66548,1562,57,328,1025,334,102,3.1765
34194,boardgame,Aquaretto,2008,2,5,45,45,45,10,2105,7.06591,6.66347,2522,78,178,436,659,200,2.1
26457,boardgame,Successors (third edition),2008,2,4,300,300,300,12,934,7.55273,6.66225,1358,38,168,533,359,137,3.3212
105037,boardgame,Tournay,2011,2,4,60,30,60,12,1807,7.12205,6.66182,2899,96,159,510,450,170,2.8765
9203,boardgame,Wings of War: Famous Aces,2004,2,4,30,30,30,10,4222,6.8926,6.66178,5038,230,120,427,1362,513,1.7349
10640,boardgame,Doom: The Boardgame,2004,2,4,180,180,180,12,4299,6.93417,6.65844,5617,304,180,670,1553,587,2.9063
55697,boardgame,Power Struggle,2009,3,5,105,105,105,12,1883,7.09208,6.65806,2840,278,79,373,571,197,3.3604
15,boardgame,Cosmic Encounter,1977,2,6,90,90,90,12,3484,6.94845,6.6579,3815,210,109,382,1592,417,2.3813
153065,boardgame,Linko!,2014,2,5,20,20,20,10,1480,7.20321,6.65716,2193,32,117,378,375,144,1.4097
354,boardgame,Sticheln,1993,3,8,60,60,60,10,2022,7.04952,6.65651,2486,52,144,365,741,231,1.9654
106,boardgame,Mystery Rummy: Jack the Ripper,1998,2,4,45,45,45,10,2562,6.97999,6.65603,4098,142,157,490,1002,274,1.7336
22141,boardgame,Cleopatra and the Society of Architects,2006,3,5,60,60,60,10,5129,6.82289,6.65491,6220,277,256,859,1679,603,2.2836
7480,boardgame,Sword of Rome,2004,2,5,360,360,360,12,1218,7.32942,6.65407,2264,92,98,320,500,195,3.2974
19999,boardgame,Aton,2005,2,2,30,30,30,8,2720,6.94004,6.653,3653,225,120,454,1022,320,2.0969
24417,boardgame,Factory Fun,2006,2,5,45,45,45,10,2939,6.92062,6.65291,3137,145,305,994,1080,309,2.4984
92319,boardgame,Olympos,2011,3,5,75,75,75,12,1933,7.06691,6.65264,2316,103,174,677,514,195,2.9641
40270,boardgame,Call of Cthulhu: The Card Game,2008,2,2,30,30,30,13,2351,7.04956,6.65246,4215,240,122,508,628,206,2.8786
